title,clean_title,link,filepath
Стань специалистом по Искусственному Интеллекту за 6 месяцев,Стань специалистом по Искусственному Интеллекту за 6 месяцев,https://gb.ru/s/ai-integration-specialist,texts/Стань специалистом по Искусственному Интеллекту за 6 месяцев.txt
Разработчик: старт в ИТ ,Разработчик: старт в ИТ,https://gb.ru/geek_university/developer,texts/Разработчик_ старт в ИТ.txt
"
        Python-разработчик | GeekBrains
    ",Python-разработчик | GeekBrains,https://gb.ru/geek_university/developer/programmer/python-gb,texts/Python_разработчик _ GeekBrains.txt
Программист ,Программист,https://gb.ru/geek_university/developer/programmer,texts/Программист.txt
Специалист по автоматизированному тестированию,Специалист по автоматизированному тестированию,https://gb.ru/geek_university/developer/qa-engineer/auto-gb,texts/Специалист по автоматизированному тестированию.txt
Тестировщик ,Тестировщик,https://gb.ru/geek_university/developer/qa-engineer,texts/Тестировщик.txt
Дизайнер ,Дизайнер,https://gb.ru/geek_university/design,texts/Дизайнер.txt
"
        Графический дизайнер | GeekBrains
    ",Графический дизайнер | GeekBrains,https://gb.ru/geek_university/design/graphic-design-spec,texts/Графический дизайнер _ GeekBrains.txt
Дизайнер интерьеров,Дизайнер интерьеров,https://gb.ru/geek_university/design/interior-spec-gb,texts/Дизайнер интерьеров.txt
Java-разработчик,Java-разработчик,https://gb.ru/geek_university/developer/programmer/java-gb,texts/Java_разработчик.txt
"
        Научитесь создавать и обучать нейронные сети за 12 месяцев на 200+ реальных задачах
    ",Научитесь создавать и обучать нейронные сети за 12 месяцев на 200+ реальных задачах,https://gb.ru/geek_university/developer/programmer/ai-spec,texts/Научитесь создавать и обучать нейронные сети за 12 месяцев на 200_ реальных задачах.txt
Интернет-маркетолог,Интернет-маркетолог,https://gb.ru/geek_university/marketing/internet-gb,texts/Интернет_маркетолог.txt
Аналитик ,Аналитик,https://gb.ru/geek_university/developer/analyst,texts/Аналитик.txt
Разработчик на C#: быстрый старт в профессии,Разработчик на C#,https://gb.ru/geek_university/developer/programmer/csharp,texts/Разработчик на C_.txt
Frontend-разработчик,Frontend-разработчик,https://gb.ru/geek_university/developer/programmer/frontend-gb,texts/Frontend_разработчик.txt
1C-разработчик: быстрый старт в профессии,1C-разработчик,https://gb.ru/geek_university/developer/programmer/1c-spec-gb,texts/1C_разработчик.txt
Data Scientist: быстрый старт в профессии,Data Scientist,https://gb.ru/geek_university/developer/analyst/data-science-gb,texts/Data Scientist.txt
Data Scientist в медицине: ,Data Scientist в медицине:,https://gb.ru/geek_university/developer/analyst/data-science-medicine-spec,texts/Data Scientist в медицине_.txt
Специалист по информационной безопасности ,Специалист по информационной безопасности,https://gb.ru/geek_university/developer/qa-engineer/security,texts/Специалист по информационной безопасности.txt
DevOps-инженер: быстрый старт в профессии,DevOps-инженер,https://gb.ru/geek_university/developer/architecture/devops-spec-gb,texts/DevOps_инженер.txt
